id,deutscher_name,botanischer_name,botanische_familie,hauptkategorie,weitere_kategorien,synonyme,quelle_botanik,geschmacksintensitaet,frische,suesse,saeure,bitterkeit,schaerfe,umami,zitronig,anisartig,menthol,harzig,erdig,blumig,pfeffrig,knoblauchartig,typische_verwendung,licht,bodenfeuchte,bodenanspruch,wasserbedarf,naehrstoffbedarf,hoehe,lebensdauer,standort_eignung,anbau_typ,slug,bild_dateiname,beschreibungstext,schwierigkeitsgrad,essbarkeit,giftige_teile,warnung
KR000013,Thymian,Thymus vulgaris,Lamiaceae,Küchenkraut,,Gartenthymian,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,1,0,0,1,0,0,0,0,1,2,0,0,1,0,Ofengemüse; Schmorgerichte; Kräuterbutter; Marinaden,sonnig,trocken bis frisch,"durchlässig, mager, kalkliebend",niedrig,schwach,20–40,mehrjährig-verholzend,1,Garten,thymian,thymian.jpg,,Anfänger,essbar,,
KR000014,Zitronenthymian,Thymus × citriodorus,Lamiaceae,Küchenkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Fischmarinaden; Kräuterbutter; Ofengemüse; Zitronensaucen,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-verholzend,1,Garten,zitronenthymian,zitronenthymian.jpg,,Anfänger,essbar,,
KR000015,Quendel,Thymus serpyllum,Lamiaceae,Wildkraut,Küchenkraut,Wilder Thymian,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,Wildkräutermischungen; Tee; Fleischgerichte; Kräuterbutter,sonnig,trocken bis frisch,"durchlässig, mager, kalkliebend",niedrig,schwach,5–20,mehrjährig-krautig,1,Garten,quendel,quendel.jpg,,Anfänger,essbar,,
KR000016,Rosmarin,Salvia rosmarinus,Lamiaceae,Küchenkraut,,Rosmarinus officinalis,https://powo.science.kew.org/; https://www.worldfloraonline.org/,5,1,0,0,1,0,0,0,0,1,3,0,0,1,0,Ofenkartoffeln; Braten; Kräuteröl; Focaccia; Marinaden,sonnig,trocken bis frisch,"durchlässig, eher mager",niedrig,schwach,80–150,mehrjährig-verholzend,2,Garten-frostempfindlich,rosmarin,rosmarin.jpg,,Fortgeschritten,essbar,,
KR000017,Salbei,Salvia officinalis,Lamiaceae,Küchenkraut,Teepflanze,Gartensalbei,https://powo.science.kew.org/; https://www.worldfloraonline.org/,5,1,0,0,2,0,0,0,0,1,2,0,0,1,0,Saltimbocca; Salbeibutter; Ravioli; Braten,sonnig,trocken bis frisch,"durchlässig, eher mager",niedrig,schwach,40–80,mehrjährig-verholzend,1,Garten,salbei,salbei.jpg,,Anfänger,essbar,,
KR000018,Bohnenkraut,Satureja hortensis,Lamiaceae,Küchenkraut,,Sommerbohnenkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,1,0,0,1,1,0,0,0,0,1,0,0,2,0,Bohnengerichte; Eintöpfe; Hülsenfrüchte; Kräuteressig,sonnig,trocken bis frisch,"durchlässig, eher mager",niedrig bis mittel,schwach,20–40,einjährig,1,Garten,bohnenkraut,bohnenkraut.jpg,,Anfänger,essbar,,
KR000019,Bergbohnenkraut,Satureja montana,Lamiaceae,Küchenkraut,,Winterbohnenkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,1,0,0,1,1,0,0,0,0,1,0,0,2,0,Bohnengerichte; Wintereintöpfe; Kräuteressig; Fleischgerichte,sonnig,trocken bis frisch,"durchlässig, kalkliebend",niedrig,schwach,30–60,mehrjährig-verholzend,1,Garten,bergbohnenkraut,bergbohnenkraut.jpg,,Anfänger,essbar,,
KR000020,Estragon,Artemisia dracunculus,Asteraceae,Küchenkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,2,0,0,1,0,0,0,3,0,0,0,1,1,0,Sauce béarnaise; Kräuteressig; Geflügelgerichte; Senfsaucen,sonnig,frisch,"durchlässig, humos, nährstoffreich",mittel,mittel,60–120,mehrjährig-krautig,2,Garten,estragon,estragon.jpg,,Anfänger,essbar,,
KR000021,Beifuß,Artemisia vulgaris,Asteraceae,Gewürzpflanze,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,0,0,0,3,0,0,0,0,0,1,1,0,1,0,Bratenwürze; Gänsefüllung; fettreiche Fleischgerichte,sonnig,trocken bis frisch,"durchlässig, robust, eher mager",niedrig,schwach,80–180,mehrjährig-krautig,3,Garten,beifuss,beifuss.jpg,,Anfänger,essbar-mit-einschränkung,ätherisches Öl (Thujon) in Menge,Als Gewürz in Maßen; in Schwangerschaft meiden.
KR000022,Wermut,Artemisia absinthium,Asteraceae,Gewürzpflanze,Teepflanze,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,5,0,0,0,5,0,0,0,0,0,2,1,0,1,0,Bitterkräuter; Liköre; sehr sparsame Würzung,sonnig,trocken bis frisch,"durchlässig, eher mager",niedrig,schwach,60–120,mehrjährig-verholzend,2,Garten,wermut,wermut.jpg,,Anfänger,essbar-mit-einschränkung,Thujon in Menge,Nur in Maßen (Bitterwürze).
KR000023,Lorbeer,Laurus nobilis,Lauraceae,Gewürzpflanze,,Echter Lorbeer,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,Suppen; Eintöpfe; Schmorgerichte; Brühen,sonnig bis halbschattig,frisch,"durchlässig, humos",mittel,mittel,150–300,mehrjährig-verholzend,2,nur-geschützt,lorbeer,lorbeer.jpg,,Experte,essbar,,
KR000024,Pfefferminze,Mentha × piperita,Lamiaceae,Küchenkraut,Küchenkraut; Teepflanze; Tee,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,5,0,0,0,0,0,0,0,5,0,0,1,0,0,Tee; Desserts; Sirup; Cocktails; Joghurtsaucen,halbschattig bis sonnig,frisch bis feucht,"humos, nährstoffreich",mittel bis hoch,mittel,40–90,mehrjährig-krautig,1,Garten,pfefferminze,pfefferminze.jpg,,Anfänger,essbar,,
KR000025,Grüne Minze,Mentha spicata,Lamiaceae,Küchenkraut,Teepflanze,Spearmint,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,5,0,0,0,0,0,0,0,3,0,0,1,0,0,Minztee; Taboulé; Joghurtsaucen; Salate,halbschattig bis sonnig,frisch bis feucht,"humos, nährstoffreich",mittel bis hoch,mittel,40–80,mehrjährig-krautig,1,Garten,gruene-minze,gruene-minze.jpg,,Anfänger,essbar,,
KR000026,Marokkanische Minze,Mentha spicata var. crispa,Lamiaceae,Küchenkraut,Küchenkraut; Teepflanze; Tee,Nanaminze,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,5,0,0,0,0,0,0,0,3,0,0,1,0,0,Marokkanischer Minztee; Salate; Desserts,halbschattig bis sonnig,frisch bis feucht,"humos, nährstoffreich",mittel bis hoch,mittel,40–80,mehrjährig-krautig,1,Garten,marokkanische-minze,marokkanische-minze.jpg,,Anfänger,essbar,,
KR000027,Zitronenmelisse,Melissa officinalis,Lamiaceae,Küchenkraut,Teepflanze,Melisse,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,4,0,0,0,0,0,4,0,1,0,0,1,0,0,Tee; Kräuterlimonade; Obstsalat; Desserts; leichte Saucen,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,40–90,mehrjährig-krautig,1,Garten,zitronenmelisse,zitronenmelisse.jpg,,Anfänger,essbar,,
KR000028,Borretsch,Borago officinalis,Boraginaceae,Küchenkraut,Essbare Blüte,Gurkenkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,Frankfurter Grüne Sauce; Kräuterquark; Salate; essbare Blüten,sonnig bis halbschattig,frisch,"durchlässig, humos",mittel,mittel,50–90,einjährig,1,Garten,borretsch,borretsch.jpg,,Anfänger,essbar,,
KR000029,Pimpinelle,Sanguisorba minor,Rosaceae,Küchenkraut,Wildkraut,Kleiner Wiesenknopf,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Frankfurter Grüne Sauce; Kräuterquark; Salate,sonnig bis halbschattig,frisch,"durchlässig, kalkhaltig",mittel,schwach bis mittel,20–50,mehrjährig-krautig,1,Garten,pimpinelle,pimpinelle.jpg,,Anfänger,essbar,,
KR000030,Sauerampfer,Rumex acetosa,Polygonaceae,Küchenkraut,Wildkraut,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,4,0,4,0,0,0,2,0,0,0,0,0,0,0,Sauerampfersuppe; Salate; Kräutersaucen; Fischbegleiter,sonnig bis halbschattig,frisch,"humos, leicht feucht",mittel,mittel,30–80,mehrjährig-krautig,1,Garten,sauerampfer,sauerampfer.jpg,,Anfänger,essbar-mit-einschränkung,hoher Oxalsäuregehalt,In Maßen; bei Nierenproblemen meiden.
KR000031,Schildampfer,Rumex scutatus,Polygonaceae,Küchenkraut,,Französischer Sauerampfer,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,4,0,3,0,0,0,2,0,0,0,0,0,0,0,Salate; leichte Saucen; Fischgerichte,sonnig,frisch bis eher trocken,"durchlässig, kalkliebend",mittel,schwach bis mittel,20–40,mehrjährig-krautig,1,Garten,schildampfer,schildampfer.jpg,,Anfänger,essbar-mit-einschränkung,Oxalsäure,In Maßen genießen.
KR000032,Gartenkresse,Lepidium sativum,Brassicaceae,Küchenkraut,,Kresse,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kressebrot; Ei-Topping; Quarkaufstrich; Salat-Topping,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten,gartenkresse,gartenkresse.jpg,,Anfänger,essbar,,
KR000033,Brunnenkresse,Nasturtium officinale,Brassicaceae,Küchenkraut,Wildkraut,Wasserkresse,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,4,0,0,1,2,0,0,0,0,0,0,0,3,0,Salate; Suppen; Brotbelag; Kräuterquark,halbschattig bis sonnig,feucht,"nährstoffreich, dauerhaft feucht",hoch,mittel,10–50,mehrjährig-krautig,1,Garten,brunnenkresse,brunnenkresse.jpg,,Anfänger,essbar,,
KR000034,Kapuzinerkresse,Tropaeolum majus,Tropaeolaceae,Küchenkraut,Essbare Blüte,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,3,0,0,0,2,0,0,0,0,0,0,1,3,0,Salate; essbare Blüten; Kräuterbutter; Brotbelag,sonnig bis halbschattig,frisch,"durchlässig, eher mäßig nährstoffreich",mittel,schwach bis mittel,20–300,einjährig,1,Garten,kapuzinerkresse,kapuzinerkresse.jpg,,Anfänger,essbar,,
KR000035,Rucola,Eruca vesicaria,Brassicaceae,Blattgemüse,Gewürzpflanze; Salatpflanze,Rauke,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,3,0,0,2,2,0,0,0,0,0,0,0,3,0,Salat; Pizza-Topping; Pesto; Pasta,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–40,einjährig,1,Garten,rucola,rucola.jpg,,Anfänger,essbar,,
KR000036,Wilde Rauke,Diplotaxis tenuifolia,Brassicaceae,Blattgemüse,Gewürzpflanze; Salatpflanze,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,5,3,0,0,2,3,0,0,0,0,0,0,0,4,0,Salat; Pizza-Topping; Pasta; Pesto,sonnig bis halbschattig,frisch,"durchlässig, humos",mittel,mittel,20–40,mehrjährig-krautig,1,Garten,wilde-rauke,wilde-rauke.jpg,,Anfänger,essbar,,
KR000037,Portulak,Portulaca oleracea,Portulacaceae,Blattgemüse,Küchenkraut,Sommerportulak,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,Salate; Kräuterquark; Gemüsepfannen; orientalische Gerichte,sonnig,frisch bis eher trocken,"durchlässig, eher mager",niedrig bis mittel,schwach,10–30,einjährig,1,Garten,portulak,portulak.jpg,,Anfänger,essbar,,
KR000038,Winterportulak,Claytonia perfoliata,Montiaceae,Blattgemüse,Küchenkraut,Tellerkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,Wintersalate; Sandwiches; Kräuterquark,halbschattig bis sonnig,frisch,"humos, locker",mittel,schwach bis mittel,10–20,einjährig,1,Garten,winterportulak,winterportulak.jpg,,Anfänger,essbar,,
KR000039,Bärlauch,Allium ursinum,Amaryllidaceae,Wildkraut,Küchenkraut,Waldknoblauch,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,4,0,0,0,2,0,0,0,0,0,0,0,1,5,Pesto; Bärlauchbutter; Suppe; Kräuterquark,halbschattig bis schattig,frisch,"humos, kalkhaltig, locker",mittel,mittel,20–40,mehrjährig-krautig,1,Garten,baerlauch,baerlauch.jpg,,Anfänger,essbar,—,"VERWECHSLUNGSGEFAHR mit Maiglöckchen, Herbstzeitlose und Aronstab (giftig, teils tödlich) – sicher bestimmen."
KR000040,Knoblauchsrauke,Alliaria petiolata,Brassicaceae,Wildkraut,Küchenkraut,Lauchkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,4,0,0,1,1,0,0,0,0,0,0,0,1,4,Wildkräuterpesto; Kräuterquark; Salate; Butter,halbschattig bis schattig,frisch,"humos, stickstoffreich",mittel,mittel,30–90,mehrjährig-krautig,1,Garten,knoblauchsrauke,knoblauchsrauke.jpg,,Anfänger,essbar,,
KR000041,Schnittknoblauch,Allium tuberosum,Amaryllidaceae,Zwiebelgemüse,,Chinesischer Schnittlauch,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,3,0,0,0,1,0,0,0,0,0,0,1,0,4,Asiatische Wokgerichte; Dumpling-Füllungen; Kräuterquark; Salate,sonnig bis halbschattig,frisch,"humos, nährstoffreich",mittel,mittel,30–60,mehrjährig-krautig,2,Garten,schnittknoblauch,schnittknoblauch.jpg,,Anfänger,essbar,,
KR000042,Frühlingszwiebel,Allium fistulosum,Amaryllidaceae,Zwiebelgemüse,,Winterheckenzwiebel,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,3,1,0,0,2,0,0,0,0,0,0,0,0,4,Topping; Wokgerichte; Salate; Suppen; Pfannkuchen,sonnig,frisch,"locker, humos, nährstoffreich",mittel,mittel,30–60,mehrjährig-krautig,1,Garten,fruehlingszwiebel,fruehlingszwiebel.jpg,,Anfänger,essbar,,
KR000043,Etagenzwiebel,Allium × proliferum,Amaryllidaceae,Zwiebelgemüse,,Luftzwiebel,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,1,1,0,0,2,1,0,0,0,0,0,0,1,4,Suppenbasis; Ofengemüse; Salat; Pfannengerichte,sonnig,frisch,"locker, humos, gut durchlässig",mittel,mittel,30–70,mehrjährig-krautig,1,Garten,etagenzwiebel,etagenzwiebel.jpg,,Anfänger,essbar,,
KR000044,Selleriegrün,Apium graveolens,Apiaceae,Küchenkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,2,0,0,1,0,1,0,0,0,0,1,0,1,0,Suppengrün; Eintöpfe; Kräutersalz; Brühen,sonnig bis halbschattig,frisch,"humos, nährstoffreich",mittel,stark,30–60,einjährig,1,Garten,selleriegruen,selleriegruen.jpg,,Anfänger,essbar,,
KR000045,Fenchelgrün,Foeniculum vulgare,Apiaceae,Küchenkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,3,1,0,0,0,0,0,4,0,0,0,1,0,0,Fischgerichte; Salate; Kräuteröl; Gemüsegerichte,sonnig,frisch,"tiefgründig, humos, nährstoffreich",mittel,mittel,80–150,mehrjährig-krautig,1,Garten,fenchelgruen,fenchelgruen.jpg,,Anfänger,essbar,,
KR000046,Anis,Pimpinella anisum,Apiaceae,Gewürzpflanze,Gewürzpflanze,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,1,1,0,0,0,0,0,5,0,0,0,1,0,0,Brotgewürz; Weihnachtsgebäck; Liköre; Fischgerichte,sonnig,frisch,"locker, warm, durchlässig",mittel,schwach bis mittel,30–60,einjährig,1,Garten,anis,anis.jpg,,Anfänger,essbar,,
KR000047,Kümmel,Carum carvi,Apiaceae,Gewürzpflanze,Gewürzpflanze,Wiesenkümmel,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,1,0,0,0,1,0,0,4,0,0,1,0,1,0,Brotgewürz; Sauerkraut; Kohlgerichte; Käsegerichte,sonnig,frisch,"locker, tiefgründig",mittel,schwach bis mittel,30–70,zweijährig,1,Garten,kuemmel,kuemmel.jpg,,Anfänger,essbar,,
KR000048,Kreuzkümmel,Cuminum cyminum,Apiaceae,Gewürzpflanze,Gewürzpflanze,Cumin,https://powo.science.kew.org/; https://www.worldfloraonline.org/,5,1,0,0,1,1,0,0,1,0,0,2,0,1,0,Currys; Falafel; Chili sin carne; Rubs; Reisgerichte,sonnig,frisch bis eher trocken,"warm, durchlässig",mittel,schwach bis mittel,20–40,einjährig,1,Garten,kreuzkuemmel,kreuzkuemmel.jpg,,Anfänger,essbar,,
KR000049,Bockshornklee,Trigonella foenum-graecum,Fabaceae,Gewürzpflanze,Gewürzpflanze,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,1,0,0,2,0,1,0,0,0,0,2,0,0,0,Curry; Gewürzmischungen; Brot; Sprossen,sonnig,frisch bis eher trocken,"durchlässig, eher mager",mittel,schwach,30–60,einjährig,1,Garten,bockshornklee,bockshornklee.jpg,,Anfänger,essbar,,
KR000050,Schabzigerklee,Trigonella caerulea,Fabaceae,Gewürzpflanze,Gewürzpflanze,Brotklee,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,Brotgewürz; Käse; Kräutermischungen,sonnig,frisch,"durchlässig, eher mager",mittel,schwach,30–60,einjährig,1,Garten,schabzigerklee,schabzigerklee.jpg,,Anfänger,essbar,,
KR000051,Schwarzkümmel,Nigella sativa,Ranunculaceae,Gewürzpflanze,Gewürzpflanze,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,1,0,0,1,1,0,0,0,0,0,1,0,2,0,Fladenbrot; Gewürzmischungen; Currys; Pickles,sonnig,frisch,"durchlässig, warm",mittel,schwach,20–50,einjährig,1,Garten,schwarzkuemmel,schwarzkuemmel.jpg,,Anfänger,essbar,,
KR000052,Zitronengras,Cymbopogon citratus,Poaceae,Gewürzpflanze,,Lemongrass,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,4,0,0,0,0,0,5,0,0,0,0,1,0,0,Currys; Suppen; Tee; Marinaden,sonnig,frisch,"humos, warm, nährstoffreich",mittel bis hoch,mittel,100–180,mehrjährig-krautig,2,nur-geschützt,zitronengras,zitronengras.jpg,,Experte,essbar,,
KR000053,Currykraut,Helichrysum italicum,Asteraceae,Gewürzpflanze,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,Kräuteröl; Reisgerichte; mediterrane Gemüsegerichte,sonnig,trocken bis frisch,"durchlässig, mager",niedrig,schwach,40–70,mehrjährig-verholzend,1,Garten-frostempfindlich,currykraut,currykraut.jpg,,Fortgeschritten,essbar,,
KR000054,Olivenkraut,Santolina viridis,Asteraceae,Gewürzpflanze,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Mediterrane Gemüsegerichte; Kräuteröl; Antipasti,sonnig,trocken bis frisch,"durchlässig, mager",niedrig,schwach,30–60,mehrjährig-verholzend,1,Garten-frostempfindlich,olivenkraut,olivenkraut.jpg,,Fortgeschritten,essbar,,
KR000055,Ysop,Hyssopus officinalis,Lamiaceae,Küchenkraut,Teepflanze,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,1,0,0,2,0,0,0,0,1,1,0,0,1,0,Kräutermischungen; Tee; Eintöpfe; Fleischgerichte,sonnig,trocken bis frisch,"durchlässig, kalkliebend",niedrig,schwach,40–70,mehrjährig-verholzend,1,Garten,ysop,ysop.jpg,,Anfänger,essbar,,
KR000056,Weinraute,Ruta graveolens,Rutaceae,Gewürzpflanze,,Raute,https://powo.science.kew.org/; https://www.worldfloraonline.org/,5,0,0,0,4,0,0,1,0,0,1,0,0,1,0,Sehr sparsam als Würzkraut; Bitterkomponente,sonnig,trocken bis frisch,"durchlässig, kalkliebend",niedrig,schwach,50–100,mehrjährig-verholzend,1,Garten,weinraute,weinraute.jpg,,Anfänger,essbar-mit-einschränkung,ganze Pflanze in Menge; Saft (phototoxisch),Nur winzige Gewürzmengen; in Schwangerschaft meiden; Hautkontakt+Sonne meiden.
KR000057,Perilla,Perilla frutescens,Lamiaceae,Küchenkraut,,Shiso,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,3,0,0,1,0,0,1,1,0,0,0,1,1,0,Sushi-Begleiter; Salate; Wraps; Einlegen,sonnig bis halbschattig,frisch,"humos, locker, warm",mittel,mittel,40–100,einjährig,1,Garten-frostempfindlich,perilla,perilla.jpg,,Fortgeschritten,essbar,,
KR000058,Vietnamesischer Koriander,Persicaria odorata,Polygonaceae,Küchenkraut,,Rau răm,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,4,0,0,1,1,0,1,0,0,0,0,0,1,0,Pho; vietnamesische Salate; Kräuterteller; Sommerrollen,sonnig bis halbschattig,frisch bis feucht,"humos, warm, nährstoffreich",mittel bis hoch,mittel,30–60,mehrjährig-krautig,1,nur-geschützt,vietnamesischer-koriander,vietnamesischer-koriander.jpg,,Experte,essbar,,
